country,year,count
Afghanistan,1985.0,1
Afghanistan,1986.0,1
Afghanistan,1987.0,1
Afghanistan,1988.0,1
Afghanistan,1989.0,1
Afghanistan,1990.0,1
Afghanistan,1991.0,1
Afghanistan,1992.0,1
Afghanistan,1993.0,3
Afghanistan,1994.0,1
Afghanistan,1995.0,3
Afghanistan,1996.0,3
Afghanistan,1997.0,3
Afghanistan,1998.0,3
Afghanistan,1999.0,3
Afghanistan,2000.0,3
Afghanistan,2001.0,5
Afghanistan,2002.0,1
Afghanistan,2003.0,1
Afghanistan,2004.0,1
Afghanistan,2005.0,1
Afghanistan,2006.0,2
Afghanistan,2022.0,1
Angola,1993.0,1
Angola,1997.0,1
Angola,2021.0,1
Angola,2023.0,1
Argentina,1982.0,1
Argentina,1984.0,1
Argentina,1986.0,1
Armenia,2008.0,1
Bangladesh,1985.0,1
Belarus,1995.0,1
Belarus,1997.0,1
Belarus,1999.0,1
Belarus,2001.0,1
Belarus,2006.0,1
Belarus,2007.0,1
Bosnia and Herzegovina,1996.0,1
Burundi,1993.0,1
Burundi,1994.0,1
Burundi,1995.0,2
Cambodia,1983.0,1
Cambodia,1988.0,1
Cambodia,1993.0,1
Cambodia,1994.0,1
Cambodia,1995.0,1
Cambodia,1996.0,1
Cambodia,1997.0,1
Cambodia,1998.0,1
Cambodia,1999.0,1
Cambodia,2000.0,1
Cambodia,2001.0,1
Cambodia,2002.0,1
Cambodia,2003.0,1
Central African Republic,1981.0,1
Central African Republic,2012.0,1
Central African Republic,2013.0,1
Central African Republic,2020.0,1
Central African Republic,2023.0,1
Chile,1981.0,2
Chile,1982.0,1
Chile,1983.0,1
Chile,1984.0,1
Chile,1985.0,1
Chile,1986.0,1
Chile,1987.0,1
Chile,1988.0,1
Chile,1989.0,1
Colombia,1989.0,1
Comoros,1996.0,2
Comoros,2012.0,1
Comoros,2013.0,1
Comoros,2014.0,1
Comoros,2018.0,1
Comoros,2019.0,1
Comoros,2020.0,1
Comoros,2021.0,1
Comoros,2022.0,1
Comoros,2023.0,1
Cote d'Ivoire,2005.0,1
Cote d'Ivoire,2007.0,1
Cote d'Ivoire,2009.0,1
Croatia,1994.0,1
Cuba,1992.0,2
Cuba,1993.0,1
Cuba,1994.0,1
Cuba,1995.0,1
Cuba,1996.0,1
Cuba,1997.0,1
Democratic People's Republic of Korea,1993.0,1
Democratic People's Republic of Korea,1994.0,1
Democratic People's Republic of Korea,1995.0,1
Democratic People's Republic of Korea,1996.0,1
Democratic People's Republic of Korea,1997.0,1
Democratic People's Republic of Korea,1998.0,1
Democratic People's Republic of Korea,1999.0,1
Democratic People's Republic of Korea,2001.0,1
Democratic People's Republic of Korea,2002.0,1
Democratic People's Republic of Korea,2003.0,1
Democratic People's Republic of Korea,2005.0,1
Democratic People's Republic of Korea,2006.0,4
Democratic People's Republic of Korea,2007.0,3
Democratic People's Republic of Korea,2008.0,2
Democratic People's Republic of Korea,2009.0,3
Democratic People's Republic of Korea,2010.0,3
Democratic People's Republic of Korea,2011.0,3
Democratic People's Republic of Korea,2012.0,3
Democratic People's Republic of Korea,2013.0,4
Democratic People's Republic of Korea,2014.0,4
Democratic People's Republic of Korea,2015.0,4
Democratic People's Republic of Korea,2016.0,4
Democratic People's Republic of Korea,2017.0,4
Democratic People's Republic of Korea,2018.0,4
Democratic People's Republic of Korea,2019.0,4
Democratic People's Republic of Korea,2020.0,3
Democratic People's Republic of Korea,2021.0,4
Democratic People's Republic of Korea,2022.0,3
